A,AAP,AAPL
37.4,71.5,422.4
38.38,71.48,421.73
39.1,71.54,423.24
38.92,72.02,422.55
39.52,71.65,421.39
39.06,71.46,419.81
39.99,72.08,424.7
41.27,73.63,429.11
41.85,75.15,427.75
41,74.75,420.3
41,74.9,427.409
42.6,75.23,420.41
44.05,75.98,446.66
42.66,75.06,444.63
42.68,75.35,447.28
43.16,76.57,453.01
42.47,76.64,456.48
44.19,76.66,456.19
43.72,76.27,455.12
45.28,76.92,459.68
44.66,76.84,463.97
44.6,77.23,468.83
44.97,78.83,476.68
45.09,80.12,493.17
44.14,79.99,493.42
43.84,79.43,502.6
43.78,79.77,509.46
43.64,79.4,497.67
43.83,85.9,502.21
43.14,85.57,502.12
42.61,85.39,514.85
42.72,85.08,513.04
43.41,85.15,516.39
43.02,84.58,522.41
43.35,84.17,525.76
43.63,85.77,535.41
43.62,85.37,542.44
44.16,85.98,544.47
43.72,86.71,545.18
42.78,86.84,533.16
42.28,87.01,530.26
43.46,86.8,530.69
44.28,86.94,541.99
44.55,87.27,545.17
43.62,87.49,552
45.11,88.48,568.1
44.97,89.17,589.58
45.86,89.25,585.56
45.62,88.05,585.57
45.36,88.5,601.1
44.83,88.81,605.96
44.72,89.11,602.5
43.71,89.18,599.34
44.3,88.99,596.05
45.05,90.33,606.98
45.67,90.51,614.48
44.59,88.79,617.62
44.46,87.98,609.86
44.51,88.57,599.55
44.87,88.98,618.63
44.83,90,629.32
43.74,89.73,624.31
44.77,90.2,633.68
43.55,89.82,636.23
42.3,88.28,628.44
42.47,89.66,626.2
43.53,89.95,622.77
42.24,90.15,605.23
41.99,89.7,580.13
42.65,90.19,609.7
42.32,90.68,608.34
41.92,90.87,587.44
42.1,90.78,572.98
41.27,90.59,571.7
39.8,88.85,560.28
41.18,89.64,610
41.99,91.43,607.7
42.56,92.37,603
42.18,91.8,583.98
42.97,90.75,582.13
43.04,92.32,585.98
42.21,91.95,581.82
41.01,90.36,565.25
40.86,90.67,569.48
40.27,89.18,568.18
39.93,88.61,569.18
39.74,89.07,570.52
39.45,88.42,566.71
38.9,82.34,558.22
40.51,81.08,553.17
39.76,82.1,546.075
39.63,68.17,530.12
38.73,66.68,530.38
39.99,69.82,561.28
40.49,68.97,556.97
40.77,71.65,570.56
41.02,72.93,565.32
41.01,73.67,562.29
42.18,74.21,572.27
41.35,72.45,579.17
40.66,72.94,577.73
38.22,71.14,560.99
37.84,70.78,564.29
38.29,72.12,562.83
39.77,73.71,571.46
39.96,73.72,571.72
39.6,74.33,580.32
38.98,72.17,571.17
39.47,73.35,576.16
39,70.54,572.16
39.35,70.66,571.53
40.01,69.74,574.13
40.15,70.69,585.78
41.15,68.86,587.41
40.64,69.03,585.741
39.12,67.23,577.67
39.03,67.93,582.1
37.66,66.48,570.765
37.99,65.85,572.025
38.35,65.59,574.5
37.72,65.71,569.05
39.24,68.22,584
38.91,67.67,592.52
39.54,69.2,599.41
39.37,68.8,609.94
37.97,69.05,605.88
37.62,70.1,613.89
37.49,70.65,608.21
37.19,69.8,604.43
36.52,71.58,598.9
37.04,71.6,604.97
36.83,70.43,606.91
37.34,72.1,606.94
38.36,73.91,606.26
38.46,73.37,614.32
37.56,72.53,604.3
36.69,71.92,603.83
35.61,71.36,600.92
36.14,72.55,574.97
36.61,69.39,574.88
37.94,69.61,585.16
38.18,70.4,595.03
38.29,70.15,610.76
38.18,68.06,606.81
37.75,67.14,607.79
39.11,68.01,615.7
39.23,69.11,622.55
40.25,70.66,620.914
40.66,70.57,619.86
40.8,67.92,620.73
40.53,68.6,621.7
40.38,69.11,630
40.49,70.67,631.69
40.48,71.3,630.83
37.15,72.46,636.34
37.22,72.87,648.11
36.68,71.58,665.15
37.13,72,656.062
37.46,72.2,668.87
37.47,71.96,662.63
37.85,71.97,663.222
37.44,71.4,675.68
36.95,72.09,674.8
37.16,71.44,673.466
37.04,71.02,663.868
37.16,71.12,665.24
37.05,70.26,674.97
36.74,70.24,670.23
37.48,71.32,676.27
38.42,70.39,680.44
38.26,69.86,662.74
37.83,70.55,660.59
37.49,70.59,669.79
38.38,69.47,682.98
39.73,68,691.28
39.63,67.89,699.781
39.55,67.69,701.91
39.88,68.28,702.1
39.23,69.21,698.7
39,68.47,700.095
38.69,67.84,690.79
38.32,67.53,673.54
38.27,67.84,665.18
38.58,68.12,681.32
38.45,68.44,667.105
38.86,67.99,659.39
38.87,68.54,661.31
38.98,68.13,671.45
39.2,69.49,666.8
38.86,69.87,652.59
38.66,70.59,638.17
38.15,69.93,635.85
37.41,69.11,640.91
37.63,68.49,628.1
37.22,67.97,629.714
37.18,67.77,634.76
37.91,68.17,649.7925
38.06,68.35,644.6136
36.64,68.31,632.64
35.75,68.43,609.84
36,66.15,634.03
35.51,67.29,613.3554
35.85,66.85,616.83
36.11,67.9,609.538
35.94,68.14,604
35.9566666666666,69.0733333333333,601.106666666666
35.9733333333333,70.0066666666666,598.213333333333
35.99,70.94,595.32
37.1,81,596.5399
37,79.97,576.8
37.61,80.79,584.6211
38.28,80.44,582.8495
37.58,79.76,558.0019
36.88,79.4,537.75
36.91,78.41,547.06
36.82,78.27,542.83
36.33,79.27,542.898
36.14,77.85,536.88
35.75,77.5,525.62
35.81,76.9,527.678
37.51,77.79,565.73
36.28,77.65,560.9134
35.84,77.93,561.7
36.88,79.04,571.5
37.47,78.16,589.53
37.34,76.61,584.78
37.97,78.07,582.94
38.34,73.93,589.36
38.29,73.15,585.28
37.92,73.17,586.19
38.13,72.38,575.8454
38.66,72.2,538.7923
38.32,71.95,547.2445
37.81,71.62,533.25
38.56,72.7,529.8209
39.7,72.83,541.388
40.51,72.79,539
39.8,73.03,529.69
39.85,72.59,509.794
40.74,73.05,518.83
41.39,72.9,533.9
40.59,72.03,526.31
41.36,71.68,521.7302
41.05,70.27,519.33
41.07,70.78,520.168
40.89,70.6,512.9995
40.64,71.34,515.06
39.83,71.51,509.5892
40.94,72.35,532.1729
41.88,72.49,549.03
42.03,72.49,542.0959
42.86,73.62,527
42.55,73.37,523.9
42.21,72.17,525.31
43.35,72.39,517.1
43.67,71.76,523.51
43.43,72.29,520.3
43.54,72.58,501.75
43.24,73.64,485.92
43.05,73.36,506.09
43.87,73.42,502.68
44.15,73.75,500
44.64,74.08,504.77
44.3,74.75,514.005
44.66,75.01,450.5
45.29,75.25,439.88
45.18,75.94,449.83
44.64,74.57,458.27
44.4,73.53,456.83
44.78,73.52,455.49
45.29,73.66,453.62
44.26,72.23,442.316
45,73.27,457.844
45.09,72.9,457.35
45.01,77.14,468.22
45.08,78.9,474.98
44.6,78.39,479.93
44.62,78.6,467.9
44.75,78.97,467.01
44.58,78.84,466.59
42.25,79,460.16
43.01,80.72,459.99
42.24,79.5,448.85
41.63,79.06,446.06
41.8,79.21,450.81
41.29,78.36,442.8
40.97,77.15,448.97
41.73,77.3,444.57
41.48,76.34,441.4
41.93,76.37,430.47
42.03,77.02,420.05
42.66,76.95,431.144
43.24,76.18,425.662
43.25,76.22,430.582
43.03,76.84,431.72
42.81,77.53,437.87
42.62,77.36,428.43
43,78.77,428.35
43.32,77.67,432.5
43.01,79.57,443.66
42.55,80.7,455.72
42,80.07,454.49
42.7,80.22,452.08
41.65,80.03,452.73
41.25,79.81,461.91
41.13,80.53,463.58
41.82,81.6,461.136
42.09,81.64,452.08
41.97,82.65,442.66
40.93,82.34,428.91
40.66,82.83,429.792
40.52,82.12,431.99
41.41,82.2,427.72
41.54,80.95,423.2
41.66,80.63,426.21
41.65,78.71,426.98
42.26,81.23,435.69
43.86,83.01,434.33
44.75,81.99,429.8
43.04,80.27,419.85
43.39,80.47,426.24
42.19,79.82,402.8
41.83,78.92,392.05
42,79.93,390.53
41.85,79.07,398.67
42.61,80.55,406.13
42.85,81.18,405.462
42.73,83,408.38
41.3,82.94,417.205
41.46,83.02,430.12
41.44,83.88,442.78
41.31,84.34,439.29
41.48,84.59,445.52
41.55,84.56,449.98
42,84.91,460.71
42.4,85.58,458.658
42.94,85.12,463.84
43.16,84.72,456.77
43.63,85.43,452.97
43.04,85,454.74
43.97,86.12,443.86
45.68,86.4,428.85
44.99,85.42,434.578
45.56,86.16,433.26
46.34,86.52,442.93
46.75,87.18,439.66
46.24,85.8,441.354
45.74,84.08,442.14
45.59,83.39,445.15
46.43,83.63,441.439
46.05,82.16,444.95
46.05,82.07,451.58
45.45,81.52,449.735
45.51,82.55,450.72
45.42,81.99,449.31
44.53,81.55,445.11
45.01,83.23,438.46
45.15,84.32,441.811
44.73,83.62,438.89
44.4,82.69,437.6
43.92,82.35,432.19
44.49,82.75,435.965
44,82.48,430.05
44.38,82.48,432
44.8,83.69,431.77
43.52,84.07,423
42.32,82.88,416.838
42.98,80.74,413.5
42.31,80.22,402.54
42.48,81.39,402.63
42.34,79.75,398.07
43.08,80.02,393.78
42.76,81.17,396.53
43.59,81.89,409.22
43.09,81.47,418.49
43.17,81.99,420.8
44.23,82.58,417.42
44.36,83.72,415.05
44.6,83.2,422.35
45.31,82.75,420.73
45.72,82.76,427.288
45.75,82.67,426.51
46.11,83.38,427.44
45.91,82.38,430.195
45.61,81.49,430.31
45.9,82.5,431.758
46.2,82.21,424.95
46.8,82.75,426.31
46.47,82.7,418.99
46.76,81.53,440.51
46.66,82.22,438.5
45.6,82.64,440.99
45.34,82.33,447.79
44.85,82.19,453.32
44.73,82.49,452.53
46.04,83.43,456.676
46.38,83.47,462.54
45.94,83.41,469.45
46.08,83.18,465.25
46.28,82.29,464.98
45.85,81.65,461.01
46.22,83.17,454.45
46.45,82.45,467.36
46.92,84.49,489.57
46.51,83.55,498.5
46.96,81.88,497.91
46.79,80.8,502.33
46.44,80.35,507.74
47.03,81.66,501.07
46.89,81.73,502.36
47.97,81.8,502.96
47.68,83.01,501.02
47.6,83.1,502.97
46.97,81.53,488.59
46.74,81.07,490.896
46.8,81.26,491.7
46.64,80.07,487.216
46.93,79.78,488.58
47.87,79.78,498.691
47.68,80.04,495.27
47.43,79.12,498.22
47.95,79.64,506.17
48.55,81.08,494.64
48.96,81.44,467.71
48.62,80.37,472.69
48.46,79.38,464.9
48.74,79.72,450.12
48.87,79.93,455.32
49.32,80.36,464.68
50.98,80.71,472.3
52.15,80.65,467.41
51.67,79.79,490.64
51.6,80.1,489.1
51.83,81.46,481.53
52.09,81.68,486.22
51.63,82.06,482.75
51.25,82.68,476.75
51.9,83.48,487.96
51.57,82.62,489.56
51.06,81.9,483.41
51.78,83.16,483.03
51.13,81.98,487.75
50.13,81.25,480.94
49.95,80.48,486.588
50.99,81.76,489.638
51.46,82.33,492.812
51.36,83.61,496.04
50.88,82.5,498.68
51.56,96.16,501.114
52.65,97.22,504.5
52.99,98.7,508.89
51.99,98.45,521.362
51.02,98.72,519.8675
50.65,99.77,524.96
51.12,99.42,531.91
51.87,102.67,525.958
51.49,101,529.876
51.7,100.3,516.678
51.15,100,524.896
50.76,99.18,522.702
51.1,99.91,520.03
51.21,99.38,526.75
51.21,99.26,525.449
51.04,98.51,520.92
50.05,96.67,512.492
50.78,96.96,520.56
51.3,99.44,519.048
51.2,99.24,520.01
51.2,99.68,520.634
50.54,98.88,528.16
54.93,99.34,524.991
54.05,98.31,518.629
53.82,97.06,519.55
53.53,97.67,515
54.1,100.04,521.136
53.85,100.1,519.8
53.11,100.12,523.74
53.65,101.51,533.4
53.81,102.03,545.96
53.57,101.01,556.07
53.21,103.05,551.23
52.93,107.12,566.322
53.58,105.71,565
53.5,104.95,567.901
54.83,104.55,560.02
55.06,104.33,566.43
55.34,109.45,565.55
54.84,107.05,561.36
55.26,107.93,560.54
55.16,109.85,554.43
55.24,109.27,557.5
56.37,108.46,554.99
57.89,109.27,550.77
57.38,108.4,544.46
56.96,109.36,549.02
57.54,109.84,570.09
57.23,110.28,567.67
